nom_commune;nom maison des solidarités;adresse;code_postal;téléphone;secteur maison des solidarités;horaires accueil public;type_site;Geo Point
ASPET;Aspet;15 PLACE DE LA REPUBLIQUE;31160;05 61 89 95 00;Salies-du-Salat;contacter votre MDS pour les jours de permanence;Point d'accueil de proximité;43.014884331451576, 0.8036924458143558
ESCALQUENS;Escalquens;PLACE FRANCOIS MITTERRAND / BATIMENT OUSTAL;31750;05 62 71 91 80;Castanet-Tolosan;contacter votre MDS pour les jours de permanence;Point d'accueil de proximité;43.518884713829785, 1.5586493254407225
CARAMAN;Caraman;40 RUE CARNOT;31460;05 62 71 49 60;Villefranche-de-Lauragais;contacter votre MDS pour les jours de permanence;Point d'accueil de proximité;43.5298590204472, 1.7562533235921067
PORTET-SUR-GARONNE;Portet-sur-Garonne;2 RUE DU ROUERGUE ILÔT SAINTONGE BÂT. A;31120;05 34 63 03 20;Frouzins;contacter votre MDS pour les jours de permanence;Point d'accueil de proximité;43.53939016082516, 1.4096763833414596
AURIGNAC;Aurignac;ROUTE D'ALAN;31420;05 62 00 98 10;Saint-Gaudens;contacter votre MDS pour les jours de permanence;Point d'accueil de proximité;43.21850659957099, 0.8882667374123003
MARTRES-TOLOSANE;Martres-Tolosane;12 BOULEVARD DE LA MADELEINE;31220;05 61 98 44 70;Cazères;contacter votre MDS pour les jours de permanence;Point d'accueil de proximité;43.198425069750506, 1.0108593632146863
LEGUEVIN;Léguevin;1 RUE D'AQUITAINE;31490;05 62 13 08 00;La Salvetat-Saint-Gilles;contacter votre MDS pour les jours de permanence;Point d'accueil de proximité;43.59858578754022, 1.2325120320203684
TOULOUSE;Fontaines;60 RUE ANTONIO VIVALDI;31400;05 62 13 23 00;Pont Vieux;contacter votre MDS pour les jours de permanence;Point d'accueil de proximité;43.60398721454302, 1.4122042860711888
TOULOUSE;Forbin;21 RUE CLAUDE FORBIN;31400;05 61 14 63 33;Rangueil;contacter votre MDS pour les jours de permanence;Point d'accueil de proximité;43.575376313917154, 1.4629858098196773
TOULOUSE;Borderouge;4 RUE FRANCOISE D'EAUBONNE;31200;05 34 36 17 00;Borderouge;lundi à vendredi - 8h30-12h - 13h30-17h;Siège MDS;43.64254808946304, 1.4537889432920912
TOULOUSE;Rangueil;39 RUE CAMILLE DESMOULINS;31400;05 61 14 63 33;Rangueil;lundi à vendredi - 8h30-12h - 13h30-17h;Siège MDS;43.58106301442769, 1.452582960469658
TOULOUSE;Bagatelle;36 RUE DU LOT;31100;05 61 19 06 30;Bagatelle;lundi à vendredi - 8h30-12h - 13h30-17h;Siège MDS;43.58075291069291, 1.4089636594404158
BLAGNAC;Blagnac;ZAC ANDROMEDE, 4 BOULEVARD ALAIN SAVARY;31700;05 61 71 03 50;Blagnac;lundi à vendredi - 8h30-12h - 13h30-17h;Siège MDS;43.65348406975641, 1.3715880224524752
FROUZINS;Frouzins;94 BOULEVARD DE LA MEDITERRANEE;31270;05 34 63 03 20;Frouzins;lundi à vendredi - 8h30-12h - 13h30-17h;Siège MDS;43.518820118367344, 1.3212614134462086
CAZERES;Cazères;11 AVENUE DE SALEICH;31220;05 61 98 44 70;Cazères;lundi à vendredi - 8h30-12h - 13h30-17h;Siège MDS;43.206418579625996, 1.0938564795410164
